node,domain,cluster,degree,betweenness,eigenvector,rank_degree,rank_centrality,rank_betweenness,rank_eigenvector
sweating,unknown,0.0,6,0.0006028256838682,0.0212626712775202,35.0,12.0,16.0,12.0
hair,unknown,0.0,4,3.100236775698476e-06,0.0022418002922582,62.0,39.0,72.0,65.0
orgasm,unknown,3.0,22,0.0032299115406301,0.0251712712830981,10.0,3.0,4.0,12.0
erectile,unknown,3.0,5,4.501733315918054e-06,0.0009942425174429,66.0,56.0,107.0,138.0
depressed,unknown,4.0,3,3.843226812362697e-07,0.0098574754407516,84.0,30.0,113.0,47.0
gain,unknown,8.0,4,0.0001271872495494,0.0011663911632487,40.0,18.0,27.0,43.0
hot,unknown,10.0,9,0.0009038336475243,0.0126294307254364,23.0,23.0,9.0,38.0
libido,unknown,14.0,28,0.0023202465871724,0.0248634155623164,3.0,1.0,2.0,3.0
ejaculation,unknown,14.0,7,0.0003924198823727,0.0126462650822873,16.0,10.0,10.0,12.0
anxiety,unknown,15.0,145,0.0548521141104464,0.1320360697540197,1.0,1.0,1.0,1.0
weight,unknown,15.0,9,0.0005248599447305,0.0131185183425396,31.0,24.0,17.0,39.0
muscle,unknown,15.0,5,5.977428210399368e-06,0.0013828363398158,58.0,52.0,103.0,135.0
erection,unknown,19.0,22,0.0017052685370799,0.0166333866954219,6.0,5.0,6.0,19.0
night,unknown,21.0,5,0.0002442510562924,0.0222241022276169,75.0,26.0,37.0,14.0
