cluster,n_nodes,centroid_x,centroid_y,ellipse_a_95,ellipse_b_95,ellipse_theta_rad,mean_dist,std_dist,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,bbox_area
0.0,97,-0.029373128019867106,-0.0033742876813590973,4.648889574174345e-16,2.6669574980780372e-17,3.1287001231087195,1.464671464033824e-16,1.199251458799324e-16,-0.029373128019867484,-0.003374287681359145,-0.0293731280198666,-0.003374287681359075,6.177269833345154e-32
3.0,151,-0.029373128019867217,-0.0033742876813590973,7.557645602933227e-16,2.4648183887714096e-17,3.1395950158004613,1.566730787720824e-16,2.6507147103475577e-16,-0.02937312801987033,-0.0033742876813591264,-0.02937312801986673,-0.003374287681359067,2.137616728665236e-31
4.0,115,-0.029373128019867176,-0.003374287681359095,1.2423521286741125e-15,2.468697454710649e-17,3.1384035081094424,2.788896868056173e-16,4.2156704189895495e-16,-0.029373128019870458,-0.0033742876813591264,-0.029373128019865566,-0.0033742876813590617,3.161082984502456e-31
8.0,67,-0.029373128019867155,-0.0033742876813590973,4.499602242287461e-16,1.9839339598122603e-17,-3.1189339400398337,1.3565522308087839e-16,1.2233676120712316e-16,-0.02937312801986744,-0.0033742876813591155,-0.029373128019866558,-0.003374287681359078,3.3249374930522764e-32
10.0,117,-0.02937312801986723,-0.0033742876813590977,6.188455963688137e-16,4.6420617733394924e-17,-3.136589909341475,2.0349063982146156e-16,1.4945210871247564e-16,-0.029373128019868022,-0.0033742876813591346,-0.029373128019866707,-0.00337428768135893,2.6916074679026863e-31
14.0,56,-0.029373128019867068,-0.0033742876813590956,5.614546162838847e-16,1.9974942072564872e-17,3.1342688654907787,1.5633037143095668e-16,1.6527594659568357e-16,-0.02937312801986768,-0.0033742876813591103,-0.029373128019866405,-0.003374287681359075,4.47282183256245e-32
15.0,155,-0.029373128019867217,-0.0033742876813590943,7.650048788455089e-16,3.1413249420472804e-17,-3.140795865813313,2.012066581736028e-16,2.3821450542655815e-16,-0.029373128019868713,-0.003374287681359121,-0.029373128019866537,-0.003374287681358978,3.1132356624465857e-31
19.0,66,-0.02937312801986675,-0.0033742876813590995,2.195975601289776e-15,2.549313298220266e-17,3.138944956297569,4.573662400411957e-16,7.639853384370274e-16,-0.029373128019867592,-0.0033742876813591238,-0.029373128019862225,-0.0033742876813590804,2.327666893724261e-31
21.0,146,-0.029373128019867058,-0.0033742876813590947,7.954994624763917e-16,5.422288390218626e-17,3.137260378181634,1.8541587665282013e-16,2.664832758437098e-16,-0.029373128019868196,-0.003374287681359121,-0.029373128019864726,-0.0033742876813589594,5.6122802285659295e-31
,1642,0.017351969658508604,0.0019933368154192027,0.3752140929880269,0.2526408573471451,1.7673653792233055,0.12024233000712634,0.14026539853350398,-0.5088613835975845,-1.0,0.7948566589120383,0.995496259604663,2.6015644774070656
